survived,pclass,age,sibsp,parch,fare,class,who,adult_male,embark_town,alive,alone,fare_normalized,sex_male,embarked_Q,embarked_S
0,3,22.0,1,0,7.25,Third,man,True,Southampton,no,False,0.014151057562208049,True,False,True
1,1,38.0,1,0,71.2833,First,woman,False,Cherbourg,yes,False,0.13913573538264068,False,False,False
1,3,26.0,0,0,7.925,Third,woman,False,Southampton,yes,True,0.015468569817999833,False,False,True
1,1,35.0,1,0,53.1,First,woman,False,Southampton,yes,False,0.10364429745562033,False,False,True
0,3,35.0,0,0,8.05,Third,man,True,Southampton,no,True,0.015712553569072387,True,False,True
0,3,28.0,0,0,8.4583,Third,man,True,Queenstown,no,True,0.01650950209357577,True,True,False
0,1,54.0,0,0,51.8625,First,man,True,Southampton,no,True,0.10122885832000206,True,False,True
0,3,2.0,3,1,21.075,Third,child,False,Southampton,no,False,0.04113566043083236,True,False,True
1,3,27.0,0,2,11.1333,Third,woman,False,Southampton,yes,False,0.021730754366528396,False,False,True
1,2,14.0,1,0,30.0708,Second,child,False,Cherbourg,yes,False,0.058694292654020104,False,False,False
1,3,4.0,1,1,16.7,Third,child,False,Southampton,yes,False,0.03259622914329302,False,False,True
1,1,58.0,0,0,26.55,First,woman,False,Southampton,yes,True,0.051822148727810165,False,False,True
0,3,20.0,0,0,8.05,Third,man,True,Southampton,no,True,0.015712553569072387,True,False,True
0,3,39.0,1,5,31.275,Third,man,True,Southampton,no,False,0.06104473451835265,True,False,True
0,3,14.0,0,0,7.8542,Third,child,False,Southampton,no,True,0.015330377421392339,False,False,True
1,2,55.0,0,0,16.0,Second,woman,False,Southampton,yes,True,0.03122992013728673,False,False,True
0,3,2.0,4,1,29.125,Third,child,False,Queenstown,no,False,0.056848213999904744,True,True,False
1,2,28.0,0,0,13.0,Second,man,True,Southampton,yes,True,0.025374310111545468,True,False,True
0,3,31.0,1,0,18.0,Third,woman,False,Southampton,no,False,0.03513366015444757,False,False,True
1,3,28.0,0,0,7.225,Third,woman,False,Cherbourg,yes,True,0.014102260811993537,False,False,False
0,2,35.0,0,0,26.0,Second,man,True,Southampton,no,True,0.050748620223090936,True,False,True
1,2,34.0,0,0,13.0,Second,man,True,Southampton,yes,True,0.025374310111545468,True,False,True
1,3,15.0,0,0,8.0292,Third,child,False,Queenstown,yes,True,0.015671954672893913,False,True,False
1,1,28.0,0,0,35.5,First,man,True,Southampton,yes,True,0.06929138530460492,True,False,True
0,3,8.0,3,1,21.075,Third,child,False,Southampton,no,False,0.04113566043083236,False,False,True
1,3,38.0,1,5,31.3875,Third,woman,False,Southampton,yes,False,0.061264319894317944,False,False,True
0,3,28.0,0,0,7.225,Third,man,True,Cherbourg,no,True,0.014102260811993537,True,False,False
0,1,19.0,3,2,263.0,First,man,True,Southampton,no,False,0.5133418122566505,True,False,True
1,3,28.0,0,0,7.8792,Third,woman,False,Queenstown,yes,True,0.01537917417160685,False,True,False
0,3,28.0,0,0,7.8958,Third,man,True,Southampton,no,True,0.015411575213749284,True,False,True
0,1,40.0,0,0,27.7208,First,man,True,Cherbourg,no,True,0.05410739813385612,True,False,False
1,1,28.0,1,0,146.5208,First,woman,False,Cherbourg,yes,False,0.2859895551532101,False,False,False
1,3,28.0,0,0,7.75,Third,woman,False,Queenstown,yes,True,0.015126992566498259,False,True,False
0,2,66.0,0,0,10.5,Second,man,True,Southampton,no,True,0.020494635090094415,True,False,True
0,1,28.0,1,0,82.1708,First,man,True,Cherbourg,no,False,0.16038672010106,True,False,False
0,1,42.0,1,0,52.0,First,man,True,Southampton,no,False,0.10149724044618187,True,False,True
1,3,28.0,0,0,7.2292,Third,man,True,Cherbourg,yes,True,0.014110458666029575,True,False,False
0,3,21.0,0,0,8.05,Third,man,True,Southampton,no,True,0.015712553569072387,True,False,True
